source_record_id,name,gpu_chip,release_date,bus_interface,memory_gb,memory_type,gpu_clock_mhz,memory_clock_mhz,shader_count,tmu_count,rop_count,has_structured_specs,memory_raw,gpu_clock_raw,memory_clock_raw,shader_counts_raw,release_raw,source_dataset
ee00252096aa2104a037,Millennium G550,Condor,2001-11-26,AGP 4x,0.03125,,125.0,166.0,,,,True,"32 MB, DDR, 64 bit",125 MHz,166 MHz,2 / 1 / 2 / 2,"Nov 26th, 2001",baraazaid/cpu-and-gpu-stats
d254849ac7655e0cc5be,Millennium G550 PCIe,Condor,2001-11-26,PCIe 1.0 x1,0.03125,,125.0,166.0,,,,True,"32 MB, DDR, 64 bit",125 MHz,166 MHz,2 / 1 / 2 / 2,"Nov 26th, 2001",baraazaid/cpu-and-gpu-stats
66491876edace188d749,Mobility FireGL 7800,M7,2001-09-29,AGP 4x,0.0625,,280.0,200.0,,,,True,"64 MB, DDR, 128 bit",280 MHz,200 MHz,2 / 0 / 2 / 2,"Sep 29th, 2001",baraazaid/cpu-and-gpu-stats
71c7b7b3aef58ab81513,Mobility FireGL 9000,M9,2002-01-01,AGP 4x,0.0625,,250.0,200.0,,,,True,"64 MB, DDR, 128 bit",250 MHz,200 MHz,4 / 1 / 4 / 4,2002,baraazaid/cpu-and-gpu-stats
62f629f19f088819e7f8,Mobility FireGL T2,M10,2003-11-01,AGP 4x,0.125,,320.0,200.0,,,,True,"128 MB, DDR, 128 bit",320 MHz,200 MHz,4 / 2 / 4 / 4,"Nov 1st, 2003",baraazaid/cpu-and-gpu-stats
e883aa95c4f1678a2e16,Mobility FireGL T2e,M11,2004-08-01,AGP 4x,0.125,,450.0,225.0,,,,True,"128 MB, DDR, 128 bit",450 MHz,225 MHz,4 / 2 / 4 / 4,"Aug 1st, 2004",baraazaid/cpu-and-gpu-stats
f0426fea1f2c7a5ff3d8,Mobility FireGL V3100,M22,2004-06-01,PCIe 1.0 x16,0.125,,350.0,200.0,,,,True,"128 MB, DDR, 128 bit",350 MHz,200 MHz,4 / 2 / 4 / 4,"Jun 1st, 2004",baraazaid/cpu-and-gpu-stats
a49367acaef7b1aba239,Mobility FireGL V3200,M24,2004-06-01,PCIe 1.0 x16,0.125,DDR2,400.0,250.0,,,,True,"128 MB, DDR2, 128 bit",400 MHz,250 MHz,4 / 2 / 4 / 4,"Jun 1st, 2004",baraazaid/cpu-and-gpu-stats
0eb55a7aded187ca6034,Mobility FireGL V5000,M26,2005-02-03,PCIe 1.0 x16,0.125,GDDR3,350.0,425.0,,,,True,"128 MB, GDDR3, 128 bit",350 MHz,425 MHz,8 / 6 / 8 / 8,"Feb 3rd, 2005",baraazaid/cpu-and-gpu-stats
a442b1fb7b6fe18f744b,Mobility FireGL V5200,M56,2006-02-01,PCIe 1.0 x16,0.25,GDDR3,425.0,475.0,,,,True,"256 MB, GDDR3, 128 bit",425 MHz,475 MHz,12 / 5 / 12 / 12,"Feb 1st, 2006",baraazaid/cpu-and-gpu-stats
c570b70996da8198135f,Mobility FireGL V5250,M66,2007-01-01,PCIe 1.0 x16,0.25,GDDR3,450.0,350.0,,,,True,"256 MB, GDDR3, 128 bit",450 MHz,350 MHz,12 / 5 / 12 / 12,2007,baraazaid/cpu-and-gpu-stats
c4bc9fa6982c396c9734,Mobility FireGL V5600,M76,2007-05-14,PCIe 2.0 x16,0.25,GDDR3,500.0,400.0,120,8,4,True,"256 MB, GDDR3, 128 bit",500 MHz,400 MHz,120 / 8 / 4,"May 14th, 2007",baraazaid/cpu-and-gpu-stats
ce7f9f2e7d3b873995a3,Mobility Radeon,M6,2003-01-01,AGP 4x,0.015625,,144.0,144.0,,,,True,"16 MB, DDR, 64 bit",144 MHz,144 MHz,1 / 0 / 3 / 1,2003,baraazaid/cpu-and-gpu-stats
6631b4d5eb3b3b6b2265,Mobility Radeon 7000,M6,2004-01-01,AGP 4x,0.015625,,144.0,139.0,,,,True,"16 MB, DDR, 32 bit",144 MHz,139 MHz,1 / 0 / 3 / 1,2004,baraazaid/cpu-and-gpu-stats
5a08477c3906adbd8074,Mobility Radeon 7500,M7,2001-12-01,AGP 4x,0.03125,,280.0,200.0,,,,True,"32 MB, DDR, 64 bit",280 MHz,200 MHz,2 / 0 / 2 / 1,"Dec 1st, 2001",baraazaid/cpu-and-gpu-stats
61588b4a95593d8cd61b,Mobility Radeon 7500,M7,2001-12-01,AGP 4x,0.03125,,230.0,183.0,,,,True,"32 MB, DDR, 64 bit",230 MHz,183 MHz,2 / 1 / 2 / 1,"Dec 1st, 2001",baraazaid/cpu-and-gpu-stats
6ea5271c202837e7f6a1,Mobility Radeon 7500C,M7,2001-12-01,AGP 4x,0.015625,,230.0,183.0,,,,True,"16 MB, DDR, 64 bit",230 MHz,183 MHz,2 / 1 / 2 / 1,"Dec 1st, 2001",baraazaid/cpu-and-gpu-stats
