source_record_id,name,codename,core_count,thread_count,base_clock_ghz,boost_clock_ghz,socket,process_nm,l3_cache_mb,tdp_w,release_date,has_structured_specs,cores_raw,clock_raw,socket_raw,process_raw,l3_cache_raw,tdp_raw,release_raw,source_dataset
a674887d709c51e8281c,Ryzen Threadripper PRO 5975WX,Chagall PRO,32,64,3.6,4.5,WRX8,7.0,128.0,280.0,2022-03-08,True,32 / 64,3.6 to 4.5 GHz,Socket WRX8,7 nm,128MB,280 W,"Mar 8th, 2022",baraazaid/cpu-and-gpu-stats
f2cd71ec958d090be10a,Ryzen Threadripper PRO 5995WX,Chagall PRO,64,128,2.7,4.5,WRX8,7.0,256.0,280.0,2022-03-08,True,64 / 128,2.7 to 4.5 GHz,Socket WRX8,7 nm,256MB,280 W,"Mar 8th, 2022",baraazaid/cpu-and-gpu-stats
ce7cbd6dcbdb7e68688d,Sempron 130,Sargas,1,,2.6,2.6,AM3,45.0,,45.0,2011-08-01,True,1,2.6 GHz,Socket AM3,45 nm,,45 W,"Aug 1st, 2011",baraazaid/cpu-and-gpu-stats
42f79907f411acbad3a3,Sempron 140,Sargas,1,,2.7,2.7,AM3,45.0,,45.0,2009-07-22,True,1,2.7 GHz,Socket AM3,45 nm,,45 W,"Jul 22nd, 2009",baraazaid/cpu-and-gpu-stats
7b674ba80ec493e3ff94,Sempron 145,Sargas,1,,2.8,2.8,AM3,45.0,,45.0,2010-09-01,True,1,2.8 GHz,Socket AM3,45 nm,,45 W,"Sep 1st, 2010",baraazaid/cpu-and-gpu-stats
7715b8fd7e5035dd57f4,Sempron 150,Sargas,1,,2.9,2.9,AM3,45.0,,45.0,2010-12-07,True,1,2.9 GHz,Socket AM3,45 nm,,45 W,"Dec 7th, 2010",baraazaid/cpu-and-gpu-stats
ede8e32e17b4a9e35e3f,Sempron 180,Regor,2,,2.4,2.4,AM3,45.0,,45.0,2010-09-01,True,2,2.4 GHz,Socket AM3,45 nm,,45 W,"Sep 1st, 2010",baraazaid/cpu-and-gpu-stats
e784af9ee60912addb18,Sempron 2200+,Barton,1,,1.5,1.5,A,130.0,,62.0,2001-01-01,True,1,1500 MHz,Socket A,130 nm,,62 W,"Jan 1st, 2001",baraazaid/cpu-and-gpu-stats
e507082840845d611001,Sempron 2200+,Thoroughbred,1,,1.5,1.5,A,130.0,,62.0,2004-07-28,True,1,1500 MHz,Socket A,130 nm,,62 W,"Jul 28th, 2004",baraazaid/cpu-and-gpu-stats
85b74ee6573e4d297e72,Sempron 2200+,Thorton,1,,1.5,1.5,A,130.0,,62.0,2004-08-01,True,1,1500 MHz,Socket A,130 nm,,62 W,"Aug 1st, 2004",baraazaid/cpu-and-gpu-stats
a3d7835957bb1f1e220f,Sempron 2300+,Barton,1,,1.583,1.583,A,130.0,,62.0,2001-01-01,True,1,1583 MHz,Socket A,130 nm,,62 W,"Jan 1st, 2001",baraazaid/cpu-and-gpu-stats
fc69a18c435a9568b086,Sempron 2300+,Thoroughbred,1,,1.583,1.583,A,130.0,,62.0,2004-07-28,True,1,1583 MHz,Socket A,130 nm,,62 W,"Jul 28th, 2004",baraazaid/cpu-and-gpu-stats
142f77f1e7a2c009c376,Sempron 2400+,Barton,1,,1.667,1.667,A,130.0,,62.0,2001-01-01,True,1,1667 MHz,Socket A,130 nm,,62 W,"Jan 1st, 2001",baraazaid/cpu-and-gpu-stats
