source_record_id,category,name,reference_price_inr,source_currency,category_keyword_match,manual_review_required,eligible_for_compatibility,reference_price_only,source_file,source_dataset
7c9933bc130ee81cd58e,case,ASUS GT301 Mid Tower Cabinet,7999.0,INR,True,False,False,True,PcData/cabinates.csv,sudhanshuy17/pccomponents
09db65bf59d6568ac61f,case,ASUS ROG STRIX Arion NVME M.2 SSD Enclosure Cabinet,5500.0,INR,True,False,False,True,PcData/cabinates.csv,sudhanshuy17/pccomponents
90344c7dadf87768104f,case,ASUS ROG Strix Helios GX601 MID Tower Cabinet,36099.0,INR,True,False,False,True,PcData/cabinates.csv,sudhanshuy17/pccomponents
c361bc7876e7de43b50b,case,ASUS TUF Gaming GT501 MID Tower Cabinet,13559.0,INR,True,False,False,True,PcData/cabinates.csv,sudhanshuy17/pccomponents
32acaf3f1e6b5fde4b8a,case,Auslese RGB GPU Holder 5V ARGB Vertical GPU Colorful Computer Graphics Video Card Stand RAM Heatsink Kit Cabinet,1449.0,INR,True,False,False,True,PcData/cabinates.csv,sudhanshuy17/pccomponents
d45e84c564d57aa11d42,case,Auslese RGB LED Strip Kit 5V 3 Pin ARGB Light Strip Addressable Bar for Computer Addressable 5V ARGB LED Strip Cabinet,1199.0,INR,True,False,False,True,PcData/cabinates.csv,sudhanshuy17/pccomponents
3ef93d9b824b63c6d5b8,case,COOLER MASTER H500-KGNN-S00 Mid Tower Cabinet,10599.0,INR,True,False,False,True,PcData/cabinates.csv,sudhanshuy17/pccomponents
5b418b9824db4b208cc7,case,COOLER MASTER K501L RGB Computer Case - 360mm Radiator Support | 2 x 120mm Fans Pre-Installed Mid Tower Cabinet,4749.0,INR,True,False,False,True,PcData/cabinates.csv,sudhanshuy17/pccomponents
821cd11ad49be2713b32,case,COOLER MASTER MB520 Mesh Computer Case - 3 x 120mm ARGB Fans Pre-Installed Mid Tower Cabinet,7999.0,INR,True,False,False,True,PcData/cabinates.csv,sudhanshuy17/pccomponents
78a02ff95bd152eb713d,case,COOLER MASTER MCB-D500D-KGNN-S01 Mid Tower Cabinet,8576.0,INR,True,False,False,True,PcData/cabinates.csv,sudhanshuy17/pccomponents
62ba1bf9ee714ab8c10b,case,COOLER MASTER MCB-D500D-WGNN-S01 Mid Tower Cabinet,8699.0,INR,True,False,False,True,PcData/cabinates.csv,sudhanshuy17/pccomponents
4c488fc1fb0d8a040f53,case,COOLER MASTER TD500 Mesh V2 Computer Case - White | ARGB & PWM Hub Included Mid Tower Cabinet,9399.0,INR,True,False,False,True,PcData/cabinates.csv,sudhanshuy17/pccomponents
4e25579bec6452af743e,case,Deepcool CG560 Mini Tower Cabinet,5842.0,INR,True,False,False,True,PcData/cabinates.csv,sudhanshuy17/pccomponents
070b424517ea2ea883f6,case,Deepcool CK560 Mid- Tower Cabinet,8274.0,INR,True,False,False,True,PcData/cabinates.csv,sudhanshuy17/pccomponents
fd6b0ee0ce2c0043741a,case,Deepcool MATREXX 30 SI Mini Tower Cabinet,2455.0,INR,True,False,False,True,PcData/cabinates.csv,sudhanshuy17/pccomponents
8b10885d5e2c60dbe68e,case,Deepcool MATREXX 40 3FS MATX Case Cabinet,3669.0,INR,True,False,False,True,PcData/cabinates.csv,sudhanshuy17/pccomponents
f440be4da38dba6fcc3f,case,Deepcool MATREXX 40 Mid Tower MATX Case Cabinet,2811.0,INR,True,False,False,True,PcData/cabinates.csv,sudhanshuy17/pccomponents
cc09dbd256c33c0d522a,case,Deepcool MATREXX 50 MESH 4FS Mini Tower Cabinet,4821.0,INR,True,False,False,True,PcData/cabinates.csv,sudhanshuy17/pccomponents
0e498e0ac718c90fa905,case,DHRUV-PRO 800 Type super voltage Self-defense Stun Gun With LED Light Emergency Light stun gun Cabinet,1199.0,INR,True,False,False,True,PcData/cabinates.csv,sudhanshuy17/pccomponents
2bfacd17ee93022d2d5d,case,"DIYtronics 1 Pc DC 12V Cooling Fan for PC Case,DC 12V HIGH END Cooling Fan Pack of 1 12V DC Cooling Fan Cabinet",349.0,INR,True,False,False,True,PcData/cabinates.csv,sudhanshuy17/pccomponents
b93f33ae2177d452ff0a,case,"ENTWINO WARRIOR Gaming Cabinet,Supports 7 RGB Fans,Tempered Glass,NO Fans & Power Supply Full Tower Premium Gaming CPU Case Cabinet",6949.0,INR,True,False,False,True,PcData/cabinates.csv,sudhanshuy17/pccomponents
2fbcde33051dde3d4821,case,ERH India 2 Pcs 12V DC CPU Cooler r Comes with 3INCES Grill Cooling Fan for PC Case Cabinet,279.0,INR,True,False,False,True,PcData/cabinates.csv,sudhanshuy17/pccomponents
581672740e5d472e3531,case,"ERH India DC 12V Cooling Fan for PC Case,DC 12V DC Cooling Fan 12V Cooling Fan kit Cabinet",471.0,INR,True,False,False,True,PcData/cabinates.csv,sudhanshuy17/pccomponents
6fdf9c92c2637569e4a2,case,Fingers Gallant C4 Micro ATX Cabinet,2645.0,INR,True,False,False,True,PcData/cabinates.csv,sudhanshuy17/pccomponents
4b43e740211ae6c771c8,case,FINGERS Opulent Micro ATX Cabinet,2645.0,INR,True,False,False,True,PcData/cabinates.csv,sudhanshuy17/pccomponents
